date,units_forecast,units_lower,units_upper,revenue_forecast,revenue_lower,revenue_upper
2017-01-01,1915.8986531404732,1581.6486625775544,2259.749690967622,39568.61506280233,32417.683089475366,46463.73071566249
2017-01-02,1084.799864989348,761.4197737770548,1426.054615445792,23809.359443551464,16269.087365442343,31229.777136734672
2017-01-03,902.1107730874519,562.5244250007853,1228.774112777341,19821.858049096492,12439.091503906837,26824.623230514597
2017-01-04,951.7033944102974,618.0632927753381,1263.0223694860688,21101.711894099593,13077.821773700962,27973.52784876519
2017-01-05,1005.1300448989123,675.7753269753177,1315.4787032192082,21797.90515234465,14915.927984456945,29088.75377254581
2017-01-06,1300.772961127012,973.5480456873769,1635.3680115100433,27779.642341664516,20700.626743555116,35166.15000776563
2017-01-07,1718.1908883541535,1411.2433400490704,2029.83156151249,35372.32026362307,28020.483858305255,42908.94921080496
2017-01-08,1754.4738998474677,1447.1803064878004,2075.7999210458433,35957.960355588366,28519.269954391344,43354.30563913974
2017-01-09,928.5198127759473,619.7113998921978,1243.6683777769076,20300.47369589128,13132.011827208986,27523.704577400284
2017-01-10,753.4173167374823,426.2512815035572,1083.3525656672327,16468.3549480487,9407.521985988466,23704.627451987675
2017-01-11,812.8609803033377,482.12808525502555,1153.0579170503288,17953.618459689325,10843.749671816162,25436.13789077315
2017-01-12,878.1872498866659,560.9139981094739,1174.433884085701,18900.809148033346,11256.330510540258,26583.051367315984
2017-01-13,1187.5285902608296,861.1472364499635,1506.6577469637868,25173.936967602625,17722.547178341014,32404.409841658002
2017-01-14,1620.1651883321442,1277.632019456909,1954.252779162529,33092.55958434286,25985.015095481845,40327.145547528075
2017-01-15,1672.885377310681,1334.2691949719508,2004.329679367022,34032.33643099182,26997.10958823292,40904.74958979164
2017-01-16,864.2680306908853,552.9306460998628,1188.290710223415,18750.423717660935,11889.654783591792,25593.98731744699
2017-01-17,707.0719205779284,410.00388411748037,1048.804030145239,15308.303895302894,8074.542521103926,22502.507619085027
2017-01-18,784.6570811376298,436.7413539422806,1115.9061659398235,17190.85994036197,10115.869117053688,23817.88642441242
2017-01-19,868.0271662026034,547.1388704783199,1182.242361565962,18535.52424617159,11297.648536310728,25642.690021471386
