date,units_forecast,units_lower,units_upper,revenue_forecast,revenue_lower,revenue_upper
2017-01-01,1915.8986531404732,1583.8113722386809,2246.178532330177,39568.61506280233,32680.31754731907,47039.24995401151
2017-01-02,1084.799864989348,779.4854983735084,1394.613149711707,23809.359443551464,16599.184682586492,31318.989786718605
2017-01-03,902.1107730874519,559.8112067813435,1214.4496945031458,19821.858049096492,12605.41749416154,27051.94930406373
2017-01-04,951.7033944102974,615.0067770130715,1260.6486780419498,21101.711894099593,14095.297833412156,28325.12104045238
2017-01-05,1005.1300448989123,653.9669806095203,1326.6268385622127,21797.90515234465,14767.606020070076,28615.496872711192
2017-01-06,1300.772961127012,969.4236899294002,1601.060318365294,27779.642341664516,21110.639816394083,34885.06683301838
2017-01-07,1718.1908883541535,1403.3345869676798,2053.9720396563403,35372.32026362307,28365.6174960911,42457.06494035022
2017-01-08,1754.4738998474677,1455.547389287628,2077.836494438073,35957.960355588366,28738.300367752494,43199.68878463152
2017-01-09,928.5198127759473,587.0324812597445,1266.4809217284987,20300.47369589128,13383.177821628751,27652.93986523937
2017-01-10,753.4173167374823,399.595007184956,1064.911008079262,16468.3549480487,8946.312572721077,24079.866389279745
2017-01-11,812.8609803033377,482.8343669202987,1161.2074558342329,17953.618459689325,10458.91717806894,25107.02844262949
2017-01-12,878.1872498866659,555.9177385539949,1200.7432486960329,18900.809148033346,11489.533408928379,25766.35450032526
2017-01-13,1187.5285902608296,857.0330642673549,1517.7561127079032,25173.936967602625,18398.564277904195,32355.947435424838
2017-01-14,1620.1651883321442,1282.143253890533,1931.9713132424476,33092.55958434286,26397.54813946194,40417.90127463866
2017-01-15,1672.885377310681,1348.3165885395044,2027.049317093006,34032.33643099182,26737.734605726884,40853.21154124533
2017-01-16,864.2680306908853,539.193131935066,1191.1528153606193,18750.423717660935,11712.51091531457,26054.62445554197
2017-01-17,707.0719205779284,348.9497699495892,1024.5949227881756,15308.303895302894,8364.877696005846,22504.43170208604
2017-01-18,784.6570811376298,438.30013449147964,1116.983946144926,17190.85994036197,10550.237439582403,24139.293135932567
2017-01-19,868.0271662026034,541.0590173220229,1163.155377979364,18535.52424617159,11633.463638622745,25863.893092091002
2017-01-20,1194.9898270562267,885.9027013271806,1509.7024837987299,25199.34813447472,18223.08714927048,32466.390541300603
2017-01-21,1644.5144129788441,1308.2563241538655,1975.7318911901573,33495.21394895906,26235.57456970323,41077.01688103432
2017-01-22,1713.0980393340233,1382.4079099494595,2047.1274876782904,34792.51041755878,27463.637210698933,41983.78971352193
2017-01-23,919.053168491561,590.9196720061556,1271.902592405768,19842.638590272734,13380.942374742564,27498.986899344927
2017-01-24,774.9016056602813,437.4162971182471,1104.078286362527,16701.93985169022,9055.15919361335,23879.554690104615
2017-01-25,863.7998686328119,531.4996185466046,1179.6571888017188,18850.85467168015,11511.60529067811,25892.51108478809
2017-01-26,956.5848534446129,616.4638726395347,1308.9528527920652,20423.1405087477,12726.475702724763,27434.76256750594
2017-01-27,1290.9367689863086,967.5546720256706,1638.8911777027704,27272.99385243176,20276.754278428165,34404.36496771584
2017-01-28,1745.7386057125386,1418.9963595815543,2079.7051296305394,35711.297701610434,28976.182549367357,43080.520971891296
2017-01-29,1817.443161444009,1504.2665829069997,2175.1016026672846,37106.31486273701,30037.749730558353,44100.48288061015
2017-01-30,1024.3607641992066,677.9947886661977,1348.7931436485464,22209.194434645422,14983.726466470187,29282.055652793573
2017-01-31,879.0526034199074,559.3240657775692,1177.0633146518135,19076.88338340756,11519.519633866956,25857.01587585673
2017-02-01,964.7546545640976,636.243703778169,1297.890473949063,21191.252610047486,13996.21368485857,28184.97493971552
2017-02-02,1052.4211584927318,744.8870818680608,1365.9928117014736,22688.266967245017,14821.84527209723,29629.189355544906
2017-02-03,1379.8846819996804,1043.0089359654212,1694.0848319319675,29425.045529410127,22183.143469810962,37135.56324490262
2017-02-04,1826.2120900675668,1500.3837754551982,2155.1848699283555,37716.03497080853,30396.644448875326,45111.09786386588
2017-02-05,1888.0675290829686,1569.4098732923762,2220.0937214073724,38933.61819580824,31733.002396224125,45940.46324988275
2017-02-06,1083.9956462250095,744.227118937821,1421.9367425256416,23833.527506460992,16448.843059466486,30928.05947671466
2017-02-07,926.8100490563625,606.7816611150546,1246.6137173398781,20477.656246673203,13118.219350867988,27400.127607945535
2017-02-08,1000.0120884262991,666.9315251221951,1315.3533511779688,22353.080433839557,15118.292346878183,29822.981410429304
2017-02-09,1074.8290277231572,757.2952433514879,1410.2364352608977,23601.121969188993,16736.23614137014,30701.286381788992
2017-02-10,1389.3687280568736,1063.9671012926437,1734.2432582218853,30084.301852410095,22664.408021649193,37316.43421475337
2017-02-11,1822.9702827797096,1508.989233778157,2158.2784119720413,38122.40832011387,31403.054482262785,45054.813594971136
2017-02-12,1872.5618013134444,1538.555123840761,2183.5401180462895,39093.00401504658,32058.596565479016,46323.490964852295
2017-02-13,1056.9386627604329,739.5355177652361,1404.5429113850723,23756.7433479897,16525.132299871708,31057.80323417267
2017-02-14,889.1473361845348,564.3838797988674,1235.727593949061,20180.09560075708,13025.258412050165,27674.990522854518
2017-02-15,952.8999314856283,598.2945702636655,1268.8759884542555,21854.286844947732,14908.474685781155,28964.039963849304
2017-02-16,1019.608619359073,704.1129749800058,1323.5060386442428,22924.293515913418,15905.45237790067,29878.184714569463
2017-02-17,1327.537113898628,1007.6158086989946,1676.7796249895857,29255.737131474307,21991.55374164833,36388.87564279891
2017-02-18,1756.148704342769,1411.205786447568,2053.577753469064,37170.905892742725,29680.146808561374,43605.51866595184
2017-02-19,1802.462076893932,1483.3513576487055,2133.3478451482933,38049.227853345554,31494.676631894814,45032.260987693866
2017-02-20,985.3282769230477,649.2969306394176,1298.8579794692148,22652.56710728575,15832.361042459992,29508.34885118839
2017-02-21,817.8139219425552,493.203502915682,1135.2201199911226,19047.938692588206,11692.524550056865,26383.639019440892
2017-02-22,883.6158344067867,559.090222874329,1241.3239920541912,20726.45505270848,14019.589431539249,28203.274128265562
2017-02-23,954.0962216531537,622.3120942675163,1286.63722261999,21832.336541020675,14225.189754085422,29158.011126897673
2017-02-24,1267.4355741791646,937.0499235807506,1578.9410779632865,28229.834846064346,21792.546626773135,35291.99517992692
2017-02-25,1702.982734240638,1358.7758441594042,2030.272839541737,36239.294274524465,29019.996201310307,43186.54205351238
2017-02-26,1757.6133299444837,1435.5330150669492,2081.4319256016083,37237.67460068288,30244.59453271815,44499.378588703614
2017-02-27,950.0098691219756,635.4871004469784,1287.6870815899576,21983.905800753608,15301.558841301769,29393.077671700183
2017-02-28,793.0485382835911,481.6019294725233,1126.506406076377,18541.669108591348,11123.301225639823,25892.51268283559
2017-03-01,870.217802688798,573.2657492831299,1208.4710485203532,20398.415868021875,13780.466335059029,28097.593145358176
2017-03-02,952.6578554483917,622.3265979368566,1255.5423722440726,21694.455222992867,14076.820440110192,28671.189420290964
2017-03-03,1278.318002466021,960.1084055534708,1634.1292828663918,28289.958026059834,21094.520093259,35894.43274174181
2017-03-04,1726.3113471984507,1405.8648074891655,2061.034775965534,36501.100348532294,28836.11678775023,43971.60131446717
2017-03-05,1793.277882457387,1459.1443098598256,2137.0356070098765,37700.66893418673,30132.92800260621,45371.399780986925
2017-03-06,997.6691910237164,670.951932326423,1311.6444369765254,22643.497104448354,15746.449907438227,29484.966250294186
2017-03-07,852.1397154577128,502.03613583952836,1170.900035836383,19389.32441460928,13032.743556451707,25752.507221204876
2017-03-08,939.9696069002521,603.6095978771225,1312.9509641404873,21421.890001516385,13821.792864918621,28738.807879097665
2017-03-09,1032.1081210759844,719.6269548788159,1350.3670759337836,22878.089408100528,16305.826278082717,29676.08822666042
2017-03-10,1366.3345745586046,1041.056250897758,1703.8173921094642,29615.041089775157,22674.898192912424,36946.743641508445
2017-03-11,1821.616159298595,1504.6777070309975,2153.6547144370006,37946.28496777214,31026.290620879972,45417.13523706198
2017-03-12,1894.4736637094443,1560.6495601303834,2215.660010088693,39242.43430972569,32222.581089158983,46842.768702674635
2017-03-13,1103.2682573922725,796.5486729657696,1414.0905819339666,24256.649005776733,17484.615688085472,31361.462331402246
2017-03-14,960.594259921116,613.664298776495,1271.2447021733399,21047.52264155732,13954.103642442233,28076.26074072494
2017-03-15,1049.7028793455877,713.9348768315382,1375.8781608887343,23098.193050949863,16123.318008003844,30380.44929440086
2017-03-16,1141.5458745421581,788.9039663961362,1451.0649206620033,24545.50586803624,17465.105555627968,31571.756683848347
2017-03-17,1473.9361527272865,1132.931899265264,1800.8448204668518,31247.07722871563,24336.9016010168,38210.09100456812
2017-03-18,1925.9046105371735,1611.9961041327288,2271.9616671749504,39517.478114852165,32459.426481581606,47024.390996333896
2017-03-19,1994.0642892177077,1654.9226466358461,2350.1419529490195,40728.86192705822,33272.481141101925,48212.51965605857
2017-03-20,1196.8950348183218,887.8509570343424,1528.8938785510782,25636.403836037738,18293.57918143142,32439.22632440525
2017-03-21,1047.1336283651706,725.6622191908356,1368.2857990500363,22301.144960679052,15528.905416250234,29615.97637865276
2017-03-22,1128.1944263092494,809.9112587788733,1440.668890132924,24209.05186163242,17111.08790050241,31265.614553652213
2017-03-23,1211.209528906421,893.8734829242853,1543.775962401984,25500.12181937007,18415.590533837956,32315.953775817205
2017-03-24,1534.1855590948478,1174.2833178196768,1863.0309101578111,32035.38112340444,24990.68023057183,39405.91746963083
2017-03-25,1976.3564380708358,1634.6084088294476,2306.0112328830596,40133.000082737584,33449.225376661234,47107.937891654496
2017-03-26,2034.5433102404093,1726.850882734316,2366.5496622981987,41168.84758664846,33719.79985358695,48327.29684671416
2017-03-27,1227.4348944960748,910.7464024000327,1561.6524551289199,25901.85517531941,18139.344550496127,33498.772589213906
2017-03-28,1067.973313847453,760.4749294509871,1396.2244036042066,22396.785059904127,15560.289937498907,29691.029994294877
2017-03-29,1139.770530845493,804.7693156243862,1454.266147375502,24143.214029160114,16146.060123830934,31088.609463076118
2017-03-30,1214.1444915643328,875.2844111598229,1533.0969761950741,25284.565157092813,18576.13160565686,32012.017975776864
2017-03-31,1529.2721422786956,1201.812284398335,1858.5155437760347,31685.0359670778,25099.74865396896,38610.77298984015
2017-04-01,1964.5387810827137,1592.9277864112732,2297.536454644922,39665.6481147631,32606.089022686738,46605.44812014205
2017-04-02,2016.8949668560701,1669.5912678872235,2349.751135558273,40604.74276643954,33849.37427284232,47655.77365678165
2017-04-03,1205.134323253833,869.8306722436142,1532.3420635884963,25263.292787712504,18316.388317183297,32663.97010317154
2017-04-04,1042.2773415124714,728.2626329085347,1368.8329493782235,21707.62728446229,14687.925932908083,29044.39952097854
2017-04-05,1111.9863502962232,770.6740599355529,1446.6931090097994,23428.381359368916,16719.53897910042,31154.83534944486
2017-04-06,1185.6007847536737,861.1701241262762,1516.3282611541724,24569.50376441285,17669.886787396186,31800.266188653943
2017-04-07,1501.289936046677,1161.3495163919413,1826.5310057150266,30995.171683784516,23692.342143529695,38297.16297968764
2017-04-08,1938.4026481869228,1596.1463058644763,2296.2417395607436,39025.838089051584,32157.52812972583,46479.812975112705
2017-04-09,1993.8251763841863,1657.0610051417414,2316.4283658892623,40038.736009522596,33109.96780401872,47030.240549407885
2017-04-10,1186.2605238150875,865.0417364504764,1536.3195860870771,24793.210779546793,17367.25523765534,31932.554154514735
2017-04-11,1028.614327508433,728.2341301807367,1374.5427492970312,21353.4755256234,13874.47593406086,28924.364762875677
2017-04-12,1104.4124169841905,757.5612973669516,1440.6303083948455,23207.602255509362,15844.332494044751,30586.89839740383
2017-04-13,1184.8391224056365,858.8262079554321,1503.7885524136443,24496.580507401955,17446.754508798957,31611.20650289504
2017-04-14,1507.8934486397723,1196.978885348418,1841.1462925563942,31081.291863352864,24037.789704479022,38121.52509126923
2017-04-15,1952.7425088046407,1636.1264263493874,2292.3449503730967,39278.624645499214,32093.599591751878,46712.88962446863
2017-04-16,2016.0833517698488,1672.4294505018993,2341.9222257647607,40462.05182995179,33638.696959640656,48176.01738831725
2017-04-17,1216.426415504501,892.1895800835406,1569.657780295345,25387.041790893505,18358.464523078823,32738.17648075378
2017-04-18,1066.4855888859322,734.6810523910847,1406.1641372553486,22113.895552416176,14673.155593708234,29028.058734883987
2017-04-19,1149.5999161772204,810.8555449965492,1490.1655453637618,24126.821233928295,16910.64917397368,31535.4589499103
2017-04-20,1236.7759320154623,884.3672762913734,1579.8147283617727,25563.07590614468,18172.36818867424,32386.234353102565
2017-04-21,1565.8476569846364,1214.3015665022685,1900.813521120441,32280.02139639495,24955.49764053097,39295.64230305804
2017-04-22,2015.8335654305008,1685.3382033508954,2347.903678444295,40591.316601933664,33499.69305293261,47584.356527205346
2017-04-23,2083.301584128929,1764.4715720041586,2401.7762218662483,41867.5676453129,35189.95697165394,49030.91978165272
2017-04-24,1286.6552859179344,965.4675860638196,1626.7896988139719,26861.803857153653,19803.86067487222,34106.212121951525
2017-04-25,1138.526202360935,774.8405495926938,1461.831732316262,23632.371770854523,16489.96520957245,30970.431231372426
2017-04-26,1222.1972418018481,912.442398293965,1538.7469280875935,25662.056476748337,18236.85483723796,32658.53834764533
2017-04-27,1308.6461646301711,978.2445037985304,1631.0732585485114,27087.259408497528,20279.431261487476,34786.62635264674
2017-04-28,1635.7061223031696,1309.2807832635067,1957.544881820341,33765.07817616924,26711.532229881625,40474.15146551279
2017-04-29,2082.4225614422035,1724.486860468899,2433.925844642352,42009.510327917065,35063.05231190028,49559.751144896996
2017-04-30,2145.41755458462,1809.9908319470323,2472.534665722855,43192.10196272835,35766.612935998004,50293.635614763654
2017-05-01,1343.174738037521,1007.4913211174994,1658.6847849517694,28067.409049476017,21092.504816050354,35345.672552951844
2017-05-02,1188.429810160425,859.518663612493,1522.245859011833,24695.86379475318,17368.517120102388,31677.15999468527
2017-05-03,1264.5916180268891,909.6175419513737,1591.5824421866917,26562.85585572657,19259.89573184178,33408.998285295165
2017-05-04,1342.7828373002794,1011.3936701090779,1673.7003208678793,27807.8582028425,20268.92403618743,34604.74918718479
2017-05-05,1660.9973148863016,1331.9152740923669,2032.1726644044668,34291.44426814017,26982.96018235838,41701.22950657746
2017-05-06,2098.4534479124,1742.9238053781166,2436.4488121929708,42331.419499201686,35411.16609470046,49970.71462337242
2017-05-07,2151.95473943827,1790.4604571533428,2494.2623373725983,43303.38976356076,35896.21981565352,50406.68231174384
2017-05-08,1340.170795887827,1000.7197312354936,1649.2474876196823,27966.136141635256,20586.71722751908,35228.72333548397
2017-05-09,1176.023807398384,882.9749819946957,1534.5915634866533,24384.3903157792,17009.530708849183,31766.55504005955
2017-05-10,1243.1056282905708,904.5289932853716,1578.0028404576901,26047.82233785834,18832.473453636478,33187.285976153056
2017-05-11,1312.7145511810181,967.4968400799157,1642.6616625446377,27100.072651369752,19432.11798909578,34250.77698894535
2017-05-12,1623.0089304651324,1269.1793960782177,1929.8240107347228,33405.677092515594,26094.882015673677,40387.76889697209
2017-05-13,2053.3571099024284,1733.630847919291,2394.4544422671393,41286.11010532231,33351.0860315712,48505.26429575355
2017-05-14,2100.6948700029275,1773.6056051388364,2435.351994040125,42120.27061526301,35122.157643537146,49299.59676794744
2017-05-15,1283.8037269322122,957.935532026843,1619.0290083025977,26669.78202812403,19762.101495790317,34190.02366427539
2017-05-16,1115.6951813696228,805.5509953135968,1449.342714255674,23001.702317905907,15609.112306825202,29926.150001140642
