ds,y,yhat,yhat_lower,yhat_upper,error,abs_error,pct_error
2018-09-01,2396,2101.3130853682824,1735.654034730862,2469.4365556279427,294.6869146317176,294.6869146317176,12.299119976282038
2018-09-02,2412,2162.397006209717,1785.238372719048,2528.004777015623,249.6029937902831,249.6029937902831,10.348382827126166
2018-09-03,1038,1305.1814066793984,949.0190502501197,1657.6842512662906,-267.1814066793984,267.1814066793984,25.740019911310057
2018-09-04,1012,1134.7031271241162,714.3353648222665,1468.8670029689713,-122.70312712411624,122.70312712411624,12.124814933213067
2018-09-05,881,1244.4112291985557,867.5938375688409,1585.8652506808116,-363.4112291985557,363.4112291985557,41.249855754660125
2018-09-06,1026,1339.417109006181,979.381646267329,1729.8324027787949,-313.4171090061809,313.4171090061809,30.547476511323673
2018-09-07,1491,1712.333392511716,1329.1483468439942,2068.6978570901383,-221.33339251171606,221.33339251171606,14.844627264367274
2018-09-08,2133,2206.8179117105988,1828.708342050992,2578.0717847165233,-73.81791171059876,73.81791171059876,3.460755354458451
2018-09-09,2143,2275.144979881531,1911.6163128181818,2638.2827189637273,-132.14497988153107,132.14497988153107,6.166354637495617
2018-09-10,966,1423.317260191015,1063.7420746582989,1805.0570486455815,-457.31726019101507,457.31726019101507,47.341331282713774
2018-09-11,1123,1256.2387201346664,875.4165693555722,1644.5564747253002,-133.23872013466644,133.23872013466644,11.864534295161748
2018-09-12,1080,1367.2579682728708,993.3881520335146,1732.9354595849386,-287.2579682728708,287.2579682728708,26.597960025265817
2018-09-13,1030,1461.4215106887666,1087.545881224932,1831.1076276503447,-431.4215106887666,431.4215106887666,41.88558356201618
2018-09-14,1503,1831.315161144124,1463.8550781510232,2223.0414153447673,-328.315161144124,328.315161144124,21.84398943074677
2018-09-15,2407,2320.6098258150632,1961.6041989604635,2674.8364293585096,86.39017418493677,86.39017418493677,3.589122317612662
2018-09-16,2512,2381.6338170032204,2017.272815322193,2768.0402292198,130.36618299677957,130.36618299677957,5.1897365842667025
2018-09-17,1195,1520.4849418067524,1144.790434136326,1856.9091871797639,-325.48494180675243,325.48494180675243,27.237233623996023
2018-09-18,1046,1342.2028272349407,978.759401470715,1708.3127636191798,-296.20282723494074,296.20282723494074,28.317669907738118
2018-09-19,1177,1440.3107657187606,1070.613428180635,1794.631002889572,-263.31076571876065,263.31076571876065,22.371347979503877
2018-09-20,1211,1520.0666252630417,1154.0288564317725,1876.5156529228902,-309.0666252630417,309.0666252630417,25.52160406796381
2018-09-21,1837,1874.3010846836503,1525.677349238761,2243.7269625768217,-37.30108468365029,37.30108468365029,2.0305435320441094
2018-09-22,2240,2346.9594608608236,1989.6752999950102,2713.79764029269,-106.95946086082358,106.95946086082358,4.774975931286767
2018-09-23,2287,2390.669347389859,2020.1524502350571,2751.0484130680097,-103.66934738985901,103.66934738985901,4.532984144724924
2018-09-24,930,1511.847393480056,1167.306480263419,1864.8757773735754,-581.8473934800561,581.8473934800561,62.564235858070546
2018-09-25,1040,1315.8657837848273,899.8034933851555,1673.6166127675394,-275.8657837848273,275.8657837848273,26.52555613315647
2018-09-26,991,1396.5878167625235,1074.9797188291975,1755.8593514142997,-405.5878167625235,405.5878167625235,40.92712580852911
2018-09-27,1253,1459.6122514109336,1110.2600813733745,1834.9405497273292,-206.6122514109336,206.6122514109336,16.489405539579696
2018-09-28,2024,1798.1048178915244,1422.9555830315687,2177.4645216616336,225.89518210847564,225.89518210847564,11.160829155557096
2018-09-29,2647,2256.333300352936,1897.7187613704784,2615.231097143245,390.666699647064,390.666699647064,14.758847738838835
2018-09-30,2409,2287.2285560766813,1913.4052897379725,2660.3053659187954,121.77144392331866,121.77144392331866,5.054854459249426
