cluster,n_stores,total_revenue,total_units,total_receipts,revenue_per_day,units_per_day,avg_basket_size,avg_basket_value,profit_margin,total_stock,n_products_sold,n_categories_sold
0,35,342146.51,17251.37,9360.86,612.97,30.89,1.84,36.51,51.33,565.46,29.57,8.0
1,13,511797.43,24759.77,11436.38,856.83,41.43,2.15,44.52,50.94,622.54,29.46,8.0
